Title,Job Offer Link,COMPANY,LOCATION,JOB DESCRIPTION / ROLE,REQUIREMENTS,ABOUT THE COMPANY,Other jobs you might be interested in,Salary
Front End Developer,https://www.gulftalent.com/uae/jobs/front-end-developer-377590,Sonorbi,UAE,Full Time.,"More than 5 years' experience in a similar position is required,Strong understanding of HTML, CSS, REST API, Dotnet core and JavaScript","Since its inception in 2004, Suadeo a french software company has pursued the same objective and that is to provide a Self BI Platform which:,Ensures an optimal responsiveness and a real user autonomy for their data usage,Gives the users an upper hand on leveraging their business acumen in constructing multidimensional data analysis, building dashboards and reports.,Enables the users to run successful data analytics to obtain a clear picture of where the business is, where it has been and where it should go.,Because Dashboarding and reporting tools alone are not enough to offer the freedom users require to run analysis as a support for strategic decision making. Suadeo Designer®, the Suadeo Self BI Platform combines Data Governance and DataViz, to free up non-IT users in their data analysis production, their data flows exchange, their cataloging as well as their Restitution, while being 100% integrable into any information system.",,
HR Executive,https://www.gulftalent.com/uae/jobs/hr-executive-396518,Quest Search & Selection,UAE,"Full Time. Assist in the recruitment process by sourcing candidates, screening resumes, and coordinating interviews. ,Maintain accurate and up-to-date employee records and databases. ,Address employee queries and concerns in a timely and professional manner. ,Prepare and maintain employment contracts and HR policies. ,Identify training needs and assist in organizing training programs. ,Contribute to the development and implementation of employee engagement programs. ,Assist in organizing employee events and activities.","Bachelor's degree in human resources, Business Administration, or a related field.,1 year of relevant experience in HR roles.,Good verbal and written communication skills. Must be Arabic speaker. ,Strong organizational and multitasking abilities.,Ability to work collaboratively in a team environment.,Discretion and the ability to handle sensitive information.","Quest Search & Selection is a specialist recruitment consultancy with over 20 years' experience in sourcing the world's best candidates for the global Retail, FMCG and Hospitality sectors.,With offices in the UK & Dubai, we have an international presence and a global reach. Our recruiters place candidates locally and internationally for a wide variety of roles focusing on the following areas:,Retail Buying & Merchandising, E-commerce & Digital, Food & Beverage, Hotels, Hospitality & Operations, Retail Stores & Operations, HR & Recruitment, Procurement, Supply Chain & Logistics, Sales & Marketing, Technical and New Product Development.,We work in partnership with our clients who range from famous international brands within the Retail, Restaurant, Hotel and Consumer products space. Our reputation is built on our in-depth understanding of the industry and our consultants' skill, knowledge and passion for their sectors.,Explore Quest Search & Selection  careers","HR Assistant,HR and Admin Assistant,Human Resource Executive ,HR Officer - Onboarding,Recruitment Consultant - Talent Acquisition Specialist",
Human Resource Manager,https://www.gulftalent.com/uae/jobs/human-resource-manager-396526,KNZ Solutions,"Dubai, UAE","Full Time ,Collaborates with senior leadership to understand the organization's goals and strategy related to staffing, recruiting, and retention. ,Plans, leads, develops, coordinates, and implements policies, processes, training, initiatives, and surveys to support the organization's human resource compliance and strategy needs. ,Administers or oversees the administration of human resource programs including, but not limited to, compensation, benefits, and leave; disciplinary matters; disputes and investigations; performance and talent management; productivity, recognition, and morale; occupational health and safety; and training and development. ,Identifies staffing and recruiting needs; develops and executes best practices for hiring and talent management with an emphasis on candidates with H1B and H2B visas. ,Manages HR operations for internationally based offices and teams; maintaining all regulatory workforce compliance needs. ,Develops and implements a departmental budget that is aligned with strategic plan initiatives.,Evaluate employee engagement and morale to suggest initiatives and programs that balance organization goals with employee advocacy. ,Establishes innovative technology for internal operational functions to support a growing team. ,Conducts research and analysis of organizational trends including review of reports and metrics from the organization's human resource information system (HRIS) or talent management system. ,Monitors and ensures the organization's compliance with federal, state, and local employment laws and regulations, and recommended best practices; reviews and modifies policies and practices to maintain compliance. ,Maintains knowledge of trends, best practices, regulatory changes, and new technologies in human resources, talent management, and employment law; applies this knowledge to communicate changes in policy, practice, and resources to upper management. ,Facilitates professional development, training, and certification activities for HR staff.,Support operational compliance requirements such as ISO certification auditing.,Provide relevant information to support proposal response requirements.,Assists with the development of community impact initiatives and programs.,Be an active champion of KNZ’s mission, vision and collaborative culture.","Recruits, interviews, hires, and trains new staff within the organization. Excellent interpersonal and negotiation skills.,Oversees the daily workflow of the department. ,Provides constructive and timely performance evaluations. ,Handles discipline and termination of employees in accordance with company policy. ,7+ years of experience of progressive HR management experience required.,Prior experience working within an enterprise-level, international organization and globally based teams strongly preferred.,Prior experience working with IT leaders, staff, and vendors strongly preferred.  ,Industry certifications such as SHRM-CP or SHRM-SCP and/or PHR or SPHR certifications or equivalent highly preferred.,Demonstrated ability to communicate, problem-solve, build and lead teams, work independently, and recommend business strategies.,Ability to travel on a limited basis, as required to support assigned projects/initiatives.,Excellent written and verbal communication skills required.,Strong organizational skills and attention to details with the ability to multi-task required.,Willingness to perform other duties as assigned that may extend beyond the scope of the primary job description.","KNZ is a global IT consulting company. KNZ strength is built on the knowledge, extensive hands on experience, capabilities and competency level of its team. In addition, to its project delivery approach and project management discipline, our consultants are leading business and technical advisors, each possessing particular knowledge and experience, which adds value to the work provided to our clients.,Our client-focused strategy works through both the planning and execution phases with our clients’ core business objectives. KNZ specializes in solving complex IT challenges using our industry research, service-offering expertise and technology potential, we identify trends and develop solutions to help our clients.,We work closely with our clients to identify, then quantify the organizational high-level goals, and create a road map on how to get there. We cover all functional levels from long-term strategic planning to day-to-day operations.,Explore KNZ Solutions careers","HR Operations Manager,Compass Project Consulting,Generalist HR Manager,Irwin & Dow,A Leading Consultancy In UAE,Metaworld Technology,Generalist HR Business Partner",
IT Executive,https://www.gulftalent.com/uae/jobs/it-executive-396686,Avyanco Business Consultancy,"Dubai, UAE","Full Time: Maintaining and administering computer networks and related computing environments including systems software, applications software, hardware, and configurations.,Performing disaster recovery operations and data backups when required.,Protecting data, software, and hardware by coordinating, planning, and implementing network security measures.,Troubleshooting, diagnosing, and resolving hardware, software, and other network and system problems.,Replacing faulty network hardware components when required.,Maintaining, configuring, and monitoring virus protection software and email applications.,Monitoring network performance to determine if adjustments need to be made.,Conferring with network users about solving existing system problems.,Operating master consoles to monitor the performance of networks and computer systems.,Coordinating computer network access and use.,Designing, configuring, and testing networking software, computer hardware, and operating system software.","Bachelor degree in information technology related field of study with a network engineering focus.,Strong understanding of network infrastructure and network hardware.,Ability to think through problems and visualize solutions.,Ability to implement, administer, and troubleshoot network infrastructure devices, including wireless access points, firewall, routers, switches, controllers.,Knowledge of application transport and network infrastructure protocols.,Ability to create accurate network diagrams and documentation for design and planning network communication systems.,Provides specific detailed information for hardware and software selection.,Ability to quickly learn new or unfamiliar technology and products using documentation and internet resources.,Ability to work with all levels of staff within and outside of IT and outside the organization.,A self-starter able to work independently but comfortable working in a team environment.,Good analytical and problem-solving skills.,Dependable and flexible when necessary.,Network security experience.,LAN and WAN experience.","Avyanco emerged from the ambition of aiding upcoming entrepreneurs and companies to set up their business in the UAE. Offering them complete business set up, accounting, auditing and taxation solutions. Our mission and values are infused with the core principles of productivity, innovation, transparency, trust, respect, and responsibility for one’s actions which embody the collective conscience of the company and its people. We are a hub for business setup in Dubai and UAE.,Explore Avyanco Business Consultancy careers",,
IT Support,https://www.gulftalent.com/uae/jobs/it-support-396669,RTC-1 Employment Services,"Dubai, UAE","Job Description Design and implement IT systems, including servers, networks, and storage solutions.,Configure and maintain network devices, routers, switches, firewalls, and wireless access points.,Install, configure, and maintain software applications used within the organization.,Implement security measures, such as firewalls, antivirus software, intrusion detection systems, and encryption.,Provide technical support for end-users, troubleshooting software and application-related issues.","Open to Asian nationals,Male, 35 years old and below,Bachelor’s degree or any relevant certificate,At least 3 years of experience in the same role,Candidates who can join immediately will be prioritized","RTC-1 Employment Services is a licensed recruitment firm based in Dubai, UAE. Our team has been in the market since 2004 and we are supporting various industries with their staffing needs across the Middle East and Africa.  Explore RTC-1 Employment Services careers",,up to 9K AED all-inclusive depending on experience and qualifications
Junior Architect,https://www.gulftalent.com/uae/jobs/junior-architect-396646,Stantec,"Dubai, UAE","Full Time. At Stantec, we approach every project as a partnership, because our work creates a lasting impact on our clients’ communities. We believe that when smart, passionate, creative people come together, real possibilities are within reach.,Our people are at the heart of everything we do; they give our work purpose. If you want to be a part of our unwavering team and can bring your sense of imagination and determination to every challenge, then this is the right place for you. ,Stantec is seeking a talented and motivated design professional to advance our architectural practice. The role of Junior Architect will involve a wide range of buildings project types in support of our current, high profile client base.  ,Preparation of design and drawings for all types of buildings as per requirements. ,To create a variety of exterior and interior architectural 3D models.,Delivering BIM projects using Revit software.,Work in collaboration with Project lead and other leads and engineers, designers.,Ensure the use of consistent design standards and best practices on projects,Project related Communication and co-ordination with other discipline as well as with region.,Complete all work in line with STANTEC Core Values and in accordance with STANTEC Quality Systems and Project Quality Procedures.","Degree qualified (or equivalent) in Architecture.,5 years minimum experience being an Architect.,Expert in Revit architecture with commitment to continuing professional development.,Knowledge in Architectural principles, techniques and technical detailing is required to execute the Architectural working drawings to acceptable international standards.,Should be able to work alone or as part of a team, taking ownership for assigned deliverables & outputs.,Strong in communication skills (written/verbal) and able to contribute effectively to discipline specific discussions,Strong interpersonal skills, able to interact with team members of different disciplines.,Practical, ‘hands-on’ and up-to-date experience in Architectural design.,Be inventive and imaginative in building design and master planning. ,Enthusiastic, self-motivated team player, keen to develop with our growing organization.,Demonstrated experience in using current architectural software packages including Revit Architecture.,Knowledge of Navisworks, 3DStudio MAX, Rhino and Photoshop is added advantage.,Dynamic with good organizational skills and able to multi-task.","Communities are fundamental. Whether around the corner or across the globe, they provide a foundation, a sense of place and of belonging. That’s why at Stantec, we always design with community in mind.,We care about the communities we serve—because they’re our communities too. This allows us to assess what’s needed and connect our expertise, to appreciate nuances and envision what’s never been considered, to bring together diverse perspectives so we can collaborate toward a shared success.,We’re designers, engineers, scientists, and project managers, innovating together at the intersection of community, creativity, and client relationships. Balancing these priorities results in projects that advance the quality of life in communities across the globe.,Explore Stantec careers",,
Junior Product Manager - Mobility Products,https://www.gulftalent.com/uae/jobs/junior-product-manager-mobility-products-396665,Ultimate HR Solutions,"Dubai, UAE","Full Time. Junior Product Manager (Riyadh, Saudi Arabia), Mobility Products Get involved with key accounts to build robust and sustainable relationships in Middle East, as well as support and drive more complex sales over the line., Product training in the main accounts and dealers, Tender applications support to dealers, Strengthen the partnership with top Distributors by developing engagement programmes, Focus on the Top Distributors to encourage further business growth by successfully executing an aggressive growth plan around geographical expansion and organic growth - This is a critical success factor for this role.","Develop marketing campaigns and events that resonate with the International markets, by working closely with the International Marketing Director,Attend and lead where appropriate key events across the international region.,Work with Key Opinion Leaders to optimize client position in the international markets.,Interact effectively with multi-level stakeholders","Founded in 2001, Ultimate HR Solutions bears the market reputation of being a complete HR Services provider, precise and pro-active in locating and managing human resources. Our client-friendly process and human capital infrastructure allows us to service ever changing client requirements in an efficient and effective manner. With comprehensive experience servicing world-class clientele and top-caliber candidates across a wide spectrum of industries, we measure our success through our growing list of satisfied clients. UHRS started with humble beginnings as a preferred recruitment partner, and from there branched out into outsourcing/ contract staffing. Explore Ultimate HR Solutions careers",,
Lead Design Mechanical Engineer,https://www.gulftalent.com/uae/jobs/lead-design-mechanical-engineer-396679,Blake Anderson,UAE,"Full Time. Produce outline design, scheme design and detail design reports including drawings and specifications. ,Take proactive role in influencing the design of the buildings in relation to efficient services integration and building energy performance. ,Ensure deadlines are met and deliverables are on time","Knowledge and understanding of the built environment and all the associated design influences.,Strong experience of the Technical Standards, planning policies and relevant Regional (GCC countries), American and British standards.,Knowledge of local codes and standards (including GCC countries),A excellent understanding of HTM, NFPA, ASHRAE and CIBSE codes & standards,10 to 15 years of experience in of which minimum 5 years in the UAE in a similar role.,Be able to Lead a Mechanical Team; work competently on an independent basis","Blake Anderson is a boutique consultancy based in the UK, with a satellite office in Dubai. Specialising in Technical and Construction Recruitment, Blake Anderson provides a superior service to clients and candidates within the construction and technical sectors.,We concentrate on placing professionals throughout the world, focusing mainly on the Middle East and Asia, drawing on both the global and local markets for highly qualified professionals. In order to attract the best talent, we invest in various high-end advertising mediums.,With a database of 1,000's of candidates, our experienced consultants have a wealth of recruitment knowledge and have a consultative approach at all times, ensuring a second to none service.,Explore Blake Anderson careers",,
Medical Director,https://www.gulftalent.com/uae/jobs/medical-director-388129,Kinetic Business Solutions,"Dubai, UAE",Full Time,"Medical Degree (MD or equivalent) from a recognized institution.  ,Minimum 8 - 10 years of relevant experience within the pharmaceutical industry.  ,Strong understanding of UAE healthcare regulations and compliance requirements.  ,Excellent verbal and written communication skills in English. Arabic is a plus.  ,Applicants should be available for face-to-face interviews in the location mentioned above.","Kinetic is a Middle East-based company that has been successfully providing a full range of recruitment solutions for leading Pharmaceutical, Agritech, Medical Device, Chemical and Sustainability organizations since 2012. ,We provide an executive search service geared to any level of roles within these verticals which is led by industry experts. Our service is driven by innovative, established and proven research teams who customize each individual requirement from our clients. ,Explore Kinetic Business Solutions careers","General Practitioner,Chief of Medical Center,Medical Director,Director - Health (UAE National),Director / General Manager / Head of Sales and Operations",
Performance Data Analyst,https://www.gulftalent.com/uae/jobs/performance-data-analyst-396670,Technology,"Dubai, UAE","Full Time,To gather and analyze data from various sources, including but not limited to  websites, databases, social media platforms, internal systems as well as utilizing local data sources and APIs.,To define and track key performance indicators (KPIs) that are relevant to our targeted market and business goals. Some of the KIPs are user engagement, customer behavior, sales conversions, and more, tailored to market trends and industry.,To curate  visualizations, dashboards, and reports to effectively communicate insights. Good knowledge of tools like Tableau, Power BI, or equivalents to present data in an actionable format. ,They should also offer ad hoc analysis and support. Conduct ad hoc analyses to support business decisions and provide analytical support for special projects as needed.,To identify the areas for  improvement  and optimization. To effectively suggest and communicate the changes to marketing strategies, product offerings, user experience and other valuable aspects of the business.,To monitor market trends, industry benchmarks, and competitor performance within the market. Willing to gain competitive knowledge of international market trends and analyze them to customize them to our business needs. Also, to understand the cultural nuances in and around UAE to deliver better interpretation and effective data collection.,To utilize advanced analytics techniques and engage in predictive modeling to forecast trends and future performance of the business.,To demonstrate strong project management skills with good knowledge of financial framework and modelling.","Comfortable working cross-functionally, and assessing issues in the process. A self-starter with a go-get attitude, questioning the status quo as and when needed with A-grade presentation skills.,Have extensive experience in analysing website traffic data, driven from various sources like ad campaigns, social media, etc.,Strong analytical and problem-solving skills, with the ability to synthesize complex data into meaningful insights.,Excellent verbal and written communication skills, with the ability to communicate complex information in a clear and concise manner.,Strong project management, data analysis and organizational skills, with the ability to manage multiple priorities and meet deadlines.,Ability to assess the issues with a process, collect feedback, build a framework and work cross-functionally to solve problems.","METAHOMES, established in 2022 and owned by Metaworld Group which the headquarters locate in Dubai, United Arab Emirates, is a global travel experience and real estate transaction platform with advanced and creative technologies. It’s dedicated to innovate the investment and transactions for the real estate industry by providing the best experience for global travelers and transaction services for our customers all over the world, helping our customers to obtain the largest benefit from real estate investment with creative technologies.,METAHOMES provides products and services including the search online and reservation of homestays, hotels, holiday houses, apartments, etc. Meanwhile, METAHOMES also provides global transaction services in real estate market by helping our customers to search and transact the properties. METAHOMES will use advanced VR, AI, IOT technologies to provide our customers with immersive experience, imitating the real experience during the property tour and provide the full intelligent services when our customers are dealing with the transactions in real estate market that can let you easily find your favorited accommodations or the inspiration for the future reservations.,Explore Metaworld Technology careers",,"AED 7,000 to 8,000"
Planning Engineer,https://www.gulftalent.com/uae/jobs/planning-engineer-396636,Viva HR Consultants,"Dubai, UAE","Full Time,Develop detailed project schedules and plans, taking into consideration all project requirements, constraints, and deadlines.,Collaborate with project managers, architects, engineers, and other stakeholders to understand project goals and objectives.,Identify and allocate resources, including manpower, equipment, and materials, to meet project timelines.,Optimize resource utilization to ensure efficient and cost-effective project execution.,Identify potential risks and challenges that may impact the project schedule.,Develop contingency plans and strategies to mitigate risks and address unforeseen issues.,Monitor and report on project progress, identifying any deviations from the original schedule.,Implement corrective actions as needed to keep the project on track.,Maintain regular communication with project stakeholders to provide updates on project status and any changes to the schedule.,Collaborate with different teams to ensure alignment and understanding of project timelines.,Utilize project management software and tools to create, update, and manage project schedules.,Stay current with industry trends and advancements in construction planning software.,Ensure that construction plans align with quality standards and regulatory requirements.,Collaborate with quality control teams to incorporate quality assurance measures into the project schedule.,Assist in cost estimation and budgeting processes to ensure that projects are financially viable.,Monitor and control project costs throughout the construction process.","Bachelor's degree in Civil Engineering, Construction Management, or a related field.,Relevant experience in construction planning and scheduling.,Familiarity with construction processes, methodologies, and industry best practices.,Proficiency in project management software (e.g., Primavera P6, Microsoft Project).,Strong understanding of construction scheduling techniques and methodologies.,Excellent verbal and written communication skills.,Ability to collaborate effectively with cross-functional teams.,Strong analytical and problem-solving abilities.,Ability to analyze data, trends, and project variables to make informed decisions.,Meticulous attention to detail in creating and managing project schedules.,Ability to identify and address potential issues proactively.","We specialize in turning first assignments into successful long-lasting business partnerships. Our vision is to deliver quality products and services to clients across the globe. We take pride in our core values of Integrity and Confidentiality. We are a very customer-centric organization and our entire team works very hard to achieve our primary goal of ""Customer Delight"" which results in our customers and clients coming back to us for more. We also strongly believe in building long-term mutually beneficial business relationships. We never promise what we cannot deliver and we never compromise on quality.,Explore Viva HR Consultants careers",,"AED 12,000 to 15,000"
Product Specialist - Musical Instruments,https://www.gulftalent.com/uae/jobs/product-specialist-musical-instruments-396516,Quest Search & Selection,UAE,"Full Time,As a Product Specialist you are to Initiate and lead research product planning, assess marketability of new products, promote through demos/presentations to various stakeholders, support distribution and sales expansion with team. Execute marketing activities, including shopfront demos, distributor staff training, and market monitoring. Propose and implement promotion activities until completion,* Support the department to achieve growth and hit sales targets as sales team. ,* Product training of sales force of Distributors, Retailers and Music Dealers & institutes,* Carry on marketing method and activities to distributors.,* Prepare report for the review of market situation including competitor's status (Specification of products, pricing, and sales status) and activities.,* Develop musician's network for cooperation to research and developing the product.,* Work along the distributor in setting up marketing activities in each territory.,* Design and implement marketing plan,* Make good relationship with music dealers and schools,* Present market situation and forecast to managements.,* Ability to identify current circumstance and figure prospect","Playing the piano, keyboard and other music instruments,Music product knowledge including MIDI, composing software including sequencer.,Confident, aggressive, communicative, and open mind,Good communication and PC operation skill and IT literacy,Music instruments industry,Teaching & School Experience in Music Classes.,Minimum 3 years in the same title and company","Quest Search & Selection is a specialist recruitment consultancy with over 20 years' experience in sourcing the world's best candidates for the global Retail, FMCG and Hospitality sectors.,With offices in the UK & Dubai, we have an international presence and a global reach. Our recruiters place candidates locally and internationally for a wide variety of roles focusing on the following areas:,Retail Buying & Merchandising, E-commerce & Digital, Food & Beverage, Hotels, Hospitality & Operations, Retail Stores & Operations, HR & Recruitment, Procurement, Supply Chain & Logistics, Sales & Marketing, Technical and New Product Development.,We work in partnership with our clients who range from famous international brands within the Retail, Restaurant, Hotel and Consumer products space. Our reputation is built on our in-depth understanding of the industry and our consultants' skill, knowledge and passion for their sectors.,Explore Quest Search & Selection  careers",,
Project Coordinator,https://www.gulftalent.com/uae/jobs/project-coordinator-396667,Charterhouse,"Abu Dhabi, UAE","Full Time. Charterhouse is working with a leading government organisation within Professional Services based in Abu Dhabi. Our client is looking to hire a Project Coordinator to provide a range of administrative tasks for project management function.,The Project Coordinator will work closely and support the Project Manager to oversee all administrative tasks, coordinating project activities, managing timelines and ensuring projects are completed within the specific time frame and within budget.,This role will track project tasks, notify management of any delays or issues as well as support in the planning for facilities of projects, create workflows and monitor whilst in process. In addition, the role will identify any issues, whilst offering suggestions where the team can improve.,The Coordinator will work with the Project Manager to track expenses and budget for future project costs and purchase orders for equipment and software. Building and maintaining relationships with internal teams, external vendors and the project team is crucial for this role.","To be considered for this role, the successful candidate should have a minimum of 5 years’ experience within a similar position, with UAE work experience. The ideal candidate will be able to provide knowledge of budgetary practices and principles as well as demonstrate an understanding of facilities management.,Our client is looking for an experienced Project Coordinator who is a self-sufficient, highly organised individual with excellent interpersonal and reporting skills. The candidate must be a computer literate with experience using all functions of Microsoft Office along with strong communication skills in English, both written and verbal. Arabic language skills would also be an advantage.","The Charterhouse brand and business was launched in Dubai and the Middle East in April 2004 by a team of international recruiters and management consultants, after its inception in Sydney, Australia in September 2003. Charterhouse Middle East is now positioned as the leading regional recruiter within its area of disciplines and functional markets.,Charterhouse offers professional and bespoke contingency and retained search services to all sectors of the market. Service quality is guaranteed, thanks to a particular focus on flexibility. Charterhouse was the first international search and selection business to establish Dubai as its base. The growth in the Middle East region has been mirrored by Charterhouse globally, with offices now in Qatar, Hong Kong, Singapore, Melbourne and Sydney.,Explore Charterhouse careers",,
Public Relations Executive,https://www.gulftalent.com/uae/jobs/public-relations-executive-396644,Metaworld Technology,"Dubai, UAE","Employment, Full Time. According to brand positioning, product positioning, user demand scenarios and industry hotspots, planning creative activities and promotional materials to attract users;,Responsible for the social marketing communication plan of major company-level projects and activities, internally connect with relevant departments, create various cooperation values, and grasp externally various platform traffic bonuses to expand influence;,Responsible for online planning and promotion plans, analyzing and grasping the needs of users and customers, adjusting online platform content according to needs, and grasping the overall style and development direction;,Track daily data and Marketing effect data, analyzing social media operation indicators, discovering customer needs, optimizing and adjusting marketing strategies in a timely manner, and being responsible for online marketing effects.","Bachelor degree or above, more than three years experience in Internet company social media operations, Property Finder, Airbnb work experience is preferred.,Participated in and led the project planning, system construction, and specific operation and implementation of new media businesses or related businesses, and has rich experience in data dissemination, community operation and event planning;,Familiar with the characteristics and ecology of Internet self-media platforms , gameplay, there are successful cases in the operation of the ""traffic pool"";,Have a good teamwork spirit and innovation ability, and be able to complete the operation work independently;,Have a relatively comprehensive planning ability, familiar with event marketing and social marketing,Strong sense of responsibility for work, able to continuously learn new knowledge, have independent thinking and work quality, and can withstand greater work pressure.","METAHOMES, established in 2022 and owned by Metaworld Group which the headquarters locate in Dubai, United Arab Emirates, is a global travel experience and real estate transaction platform with advanced and creative technologies. It’s dedicated to innovate the investment and transactions for the real estate industry by providing the best experience for global travelers and transaction services for our customers all over the world, helping our customers to obtain the largest benefit from real estate investment with creative technologies.METAHOMES provides products and services including the search online and reservation of homestays, hotels, holiday houses, apartments, etc. Meanwhile, METAHOMES also provides global transaction services in real estate market by helping our customers to search and transact the properties. METAHOMES will use advanced VR, AI, IOT technologies to provide our customers with immersive experience, imitating the real experience during the property tour and provide the full intelligent services when our customers are dealing with the transactions in real estate market that can let you easily find your favorited accommodations or the inspiration for the future reservations.Explore Metaworld Technology careers",,"AED 4,000 to 10,000"
Real Estate Consultant,https://www.gulftalent.com/uae/jobs/real-estate-consultant-384251,Chestertons,"Dubai, UAE","Employment Full Time.  Achieve individual monthly targets ,Promote Dubai and other UAE properties through private meetings events and networking ,Presenting to potential clients and conducting viewings,Deal with lead enquiries based on Chestertons guidelines in a professional manner ,Management of new and existing leads updating activities in the CRM,Support Chestertons social media posts, marketing events and promotional initiatives ,Sign up potential key connectors and referral partners to create revenue pipeline,Support advertising and PR strategies ,Maintain and build Chestertons profile in the market ,Abide by RERA standards and business codes of ethics ,The reputation of a leading, global brand ,Full training and ongoing support from our experienced managers,Competitive commission structure ,Company paid sim phone package,Company laptop ,Marketing support, lead generation channels ,No hidden deductions,Company funded back office and strong administration support ,Company funded photography/videography to support listings ,Company funded residence visa, RERA license/certification and medical insurance","At least two years sales experience in real estate or any similar sales industry ,A good command of written and spoken English ,Must have own car and UAE driving license ,Driven individual who is motivated to attain financial success ,Competent in using Microsoft Office ,Good understanding in the use of CRM software","Chestertons is a global real estate services firm with more than 120 offices in 20 countries, operating across the UK, Europe, Asia Pacific, Caribbean, Middle East and North Africa.,We provide expert advice on the purchase, sale and leasing of all types of commercial and residential real estate, including management of property portfolios, valuations and appraisals, as well as capital market advice to help clients to develop viable strategic opportunities from their real estate portfolios.,Are you interested in becoming a new member of the Chestertons Global Network? Join our Global Network and use our brand and expertise to grow your business globally.,Explore Chestertons careers","Residential Real Estate Agent,Chestertons,Real Estate Broker,Elite & Luxury Real Estate,Commercial Property Sales and Leasing Consultant,Real Estate Agent,Rosenheim Luxury Properties,The Capital Real Estate",
Recruitment and Sourcing Officer,https://www.gulftalent.com/uae/jobs/recruitment-and-sourcing-officer-396519,Michael Page,UAE,"Employment Full Time. The Recruitment & Sourcing Officer is involved in sourcing, screening, interviewing, and hiring of new employees to fill the job vacancies as per the requirement and approved budget in alignment with the recruitment standard process.,Client Details,The client is a global business based in Abu Dhabi offices who are looking for Recruitment and sourcing officer to join their expanding team, this role offers a fantastic career opportunity for an experienced recruiter.,Description,The Key responsibilities of the role will be:,* Promotes job opportunities to attract applicants through approved channels (e.g., Oracle HCM, job portals, and social media sites).,* Assists in screening and shortlisting prospective applicants to determine their qualifications and allocate the best fit for the position.,* Coordinates, schedules, and facilitates interviews between the Client/Hiring Manager and applicants.,* Performs reference checks of the applicant's information to ensure all qualifications are met in line with the job requirement.,* Maintains the database of applicants in the Oracle HCM system application.,* Resolves concerns or issues as fast as possible (e.g., interview cancellations) and provides amicable solutions.,* Handles records and paperwork as required.,* Undertakes administration duties to support new starters, on boarding, contract checking, and any other administrative tasks as needed.,* Supports managers in the recruitment and selection processes, ensuring high-quality applicants are attracted through the application of appropriate recruitment techniques.,* Builds good professional relationship with applicants and clients.,* Generates reports to obtain and analyse recruitment data and metrics.,* Responsible to focus on client's accounts and other recruitment requirements.,* Perform other duties as directed by Recruitment & Sourcing Manager.","The Successful candidate will have/be,* A bachelor's degree in Psychology or a degree holder of any relevant field.,* Minimum 3 years of experience in the Recruitment field.,* Proficiency in all Microsoft Office system applications (e.g., Excel, Outlook, PowerPoint, Teams, & Word).,* Utilises the Oracle HCM database application for recruitment purposes.,* Sound knowledge of employment legislation, regulations, and guidelines.,* Excellent client management and stakeholder engagement.,* Good communication skills through verbal or nonverbal means.,* Excellent interpersonal and problem-solving skills to achieve desired goals.,* Able to work under pressure and have good time management skills.,* Maintains confidentiality in all communication.","Michael Page is one of the world's leading professional recruitment consultancies, specializing in the placement of candidates in permanent, contract, temporary and interim positions with clients around the world.,The Group has operations in the UK, Continental Europe, Asia-Pacific and the Americas. In the Middle East we focus on the areas of:,Finance & Accounting,Banking & Financial Services,Procurement ,Property & Construction,Engineering & Supply Chain,Oil & Gas Technical and Engineering ,Sales,Marketing,Technology,Secretarial,Executive Search,Legal","Recruitment Consultant - Talent Acquisition Specialist,Guildhall,Recruitment Consultant - Accountancy & Finance,Human Resource Manager,KNZ Solutions,Recruitment Consultant,Ignite Search & Selection,HR Executive,Quest Search & Selection",
Regional Sales Manager,https://www.gulftalent.com/uae/jobs/regional-sales-manager-396680,Michael Page,UAE,"Full Time : Regional Sales Manager based in Dubai to lead the sales operations across the UAE. The successful candidate will develop and execute sales strategies, build strong client relationships, and contribute to market analysis, ensuring achievement of revenue targets in the healthcare industry.,* Develop and execute sales strategies to achieve revenue targets.,* Lead and motivate a high-performing sales team in the future. ,* Identify new business opportunities and partnerships to drive growth.,* Build and maintain strong relationships with key clients and stakeholders.,* Understand customer needs and ensure the delivery of exceptional service.,* Resolve client concerns and issues in a timely and effective manner.,* Stay abreast of industry trends and competitive developments.,* Conduct market research to identify potential areas for business expansion.,* Provide insights to senior management on market dynamics and opportunities.,* Prepare regular sales reports and forecasts.,* Analyze data to identify areas for improvement and strategic adjustments.,* Present findings to senior management and contribute to strategic decision-making.,Job Offer,Competitive package and opportunity for growth.,REQUIREMENTS,* Bachelor's degree in Business, Marketing, or a related field. Master's degree is a plus.,* Proven experience in sales leadership, preferably in the pharmaceutical or diagnostic laboratory industry.,* Strong understanding of the UAE healthcare market.,* Excellent communication, negotiation, and interpersonal skills.,* Ability to travel within the UAE as required.,* Results-oriented with a track record of meeting and exceeding sales targets.",,"Michael Page is one of the world's leading professional recruitment consultancies, specializing in the placement of candidates in permanent, contract, temporary and interim positions with clients around the world.,The Group has operations in the UK, Continental Europe, Asia-Pacific and the Americas. In the Middle East we focus on the areas of:,Finance & Accounting,Banking & Financial Services,Procurement ,Property & Construction,Engineering & Supply Chain,Oil & Gas Technical and Engineering ,Sales,Marketing,Technology,Secretarial,Executive Search,Legal,The Group operates through 161 offices in 33 countries and employs over 5,000 employees worldwide.",,
